cid,house,name,type,state,short_name,room,phone,fax,session_year
521,Senate,"Senate Standing Committee on Higher Education",Standing,NY,"Higher Education",807,NULL,NULL,2017
522,Senate,"Senate Standing Committee on Housing, Construction And Community Development",Standing,NY,"Housing, Construction And Community Development",309,NULL,NULL,2017
523,Senate,"Senate Standing Committee on Infrastructure And Capital Investment",Standing,NY,"Infrastructure And Capital Investment",801,NULL,NULL,2017
524,Senate,"Senate Standing Committee on Insurance",Standing,NY,Insurance,124,NULL,NULL,2017
525,Senate,"Senate Standing Committee on Investigations And Government Operations",Standing,NY,"Investigations And Government Operations",816,NULL,NULL,2017
526,Senate,"Senate Standing Committee on Judiciary",Standing,NY,Judiciary,123,NULL,NULL,2017
527,Senate,"Senate Standing Committee on Labor",Standing,NY,Labor,123,NULL,NULL,2017
528,Senate,"Senate Standing Committee on Local Government",Standing,NY,"Local Government",946,NULL,NULL,2017
529,Senate,"Senate Standing Committee on Mental Health And Developmental Disabilities",Standing,NY,"Mental Health And Developmental Disabilities",816,NULL,NULL,2017
530,Senate,"Senate Subcommittee on New York City Education Subcommittee",Standing,NY,"New York City Education Subcommittee",NULL,NULL,NULL,2017
531,Senate,"Senate Standing Committee on Racing, Gaming And Wagering",Standing,NY,"Racing, Gaming And Wagering",124,NULL,NULL,2017
532,Senate,"Senate Standing Committee on Rules",Standing,NY,Rules,NULL,NULL,NULL,2017
533,Senate,"Senate Standing Committee on Social Services",Standing,NY,"Social Services",801,NULL,NULL,2017
534,Senate,"Senate Standing Committee on Transportation",Standing,NY,Transportation,710,NULL,NULL,2017
535,Senate,"Senate Standing Committee on Veterans, Homeland Security And Military Affairs",Standing,NY,"Veterans, Homeland Security And Military Affairs",124,NULL,NULL,2017
536,Assembly,"Assembly Floor",Floor,CA,"Assembly Floor",,,,2017
537,Assembly,"Assembly Standing Committee on Accountability and Administrative Review",Standing,CA,"Accountability and Administrative Review",357,"(916) 319-3600","(916) 319-3650",2017
538,Assembly,"Assembly Standing Committee on Aging and Long-Term Care",Standing,CA,"Aging and Long-Term Care",360A,"(916) 319-3990","(916) 319-3884",2017
539,Assembly,"Assembly Standing Committee on Agriculture",Standing,CA,Agriculture,362,"(916) 319-2084","(916) 319-2184",2017
540,Assembly,"Assembly Standing Committee on Appropriations",Standing,CA,Appropriations,2114,"(916) 319-2081",,2017
541,Assembly,"Assembly Standing Committee on Arts, Entertainment, Sports, Tourism, and Internet Media",Standing,CA,"Arts, Entertainment, Sports, Tourism, and Internet Media",152,"(916) 319-3450","(916) 319-3451",2017
542,Assembly,"Assembly Standing Committee on Banking and Finance",Standing,CA,"Banking and Finance",6031,"(916) 319-3081","(916) 319-3181",2017
543,Assembly,"Assembly Standing Committee on Budget",Standing,CA,Budget,6026,"(916) 319-2099","(916) 319-2199",2017
544,Assembly,"Assembly Standing Committee on Business and Professions",Standing,CA,"Business and Professions",383,"(916) 319-3301","(916) 319-3306",2017
545,Assembly,"Assembly Standing Committee on Communications and Conveyance",Standing,CA,"Communications and Conveyance",6027,"(916) 319-2637","(916) 319-3560",2017
546,Assembly,"Assembly Standing Committee on Education",Standing,CA,Education,159,"(916) 319-2087","(916) 319-2187",2017
547,Assembly,"Assembly Standing Committee on Elections and Redistricting",Standing,CA,"Elections and Redistricting",365,"(916) 319-2094","(916) 319-2194",2017
548,Assembly,"Assembly Standing Committee on Environmental Safety and Toxic Materials",Standing,CA,"Environmental Safety and Toxic Materials",171,"(916) 319-3965","(916) 319-3950",2017
549,Assembly,"Assembly Standing Committee on Governmental Organization",Standing,CA,"Governmental Organization",156,"(916) 319-2531","(916) 319-3979",2017
550,Assembly,"Assembly Standing Committee on Health",Standing,CA,Health,6005,"(916) 319-2097","(916) 319-2197",2017
551,Assembly,"Assembly Standing Committee on Higher Education",Standing,CA,"Higher Education",173,"(916) 319-3960","(916) 319-3961",2017
552,Assembly,"Assembly Standing Committee on Housing and Community Development",Standing,CA,"Housing and Community Development",162,"(916) 319-2085","(916) 319-3182",2017
553,Assembly,"Assembly Standing Committee on Human Services",Standing,CA,"Human Services",124,"(916) 319-2089","(916) 319-2189",2017
554,Assembly,"Assembly Standing Committee on Insurance",Standing,CA,Insurance,369,"(916) 319-2086","(916) 319-2186",2017
555,Assembly,"Assembly Standing Committee on Jobs, Economic Development, and the Economy",Standing,CA,"Jobs, Economic Development, and the Economy",359,"(916) 319-2090","(916) 319-2190",2017
556,Assembly,"Assembly Standing Committee on Judiciary",Standing,CA,Judiciary,104,"(916) 319-2334","(916) 319-2188",2017
557,Assembly,"Assembly Standing Committee on Labor and Employment",Standing,CA,"Labor and Employment",155,"(916) 319-2091","(916) 319-2191",2017
558,Assembly,"Assembly Standing Committee on Local Government",Standing,CA,"Local Government",157,"(916) 319-3958","(916) 319-3959",2017
559,Assembly,"Assembly Standing Committee on Natural Resources",Standing,CA,"Natural Resources",164,"(916) 319-2092","(916) 319-2192",2017
560,Assembly,"Assembly Standing Committee on Privacy and Consumer Protection",Standing,CA,"Privacy and Consumer Protection",156A,"(916) 319-2200",,2017
561,Assembly,"Assembly Standing Committee on Public Employees, Retirement, and Social Security",Standing,CA,"Public Employees, Retirement, and Social Security",153,"(916) 319-3957","(916) 319-3956",2017
562,Assembly,"Assembly Standing Committee on Public Safety",Standing,CA,"Public Safety",111,"(916) 319-3744","(916) 319-3745",2017
563,Assembly,"Assembly Standing Committee on Revenue and Taxation",Standing,CA,"Revenue and Taxation",167A,"(916) 319-2098","(916) 319-2198",2017
564,Assembly,"Assembly Standing Committee on Rules",Standing,CA,Rules,3016,"(916) 319-2800","(916) 319-2810",2017
565,Assembly,"Assembly Standing Committee on Transportation",Standing,CA,Transportation,112,"(916) 319-2093","(916) 319-2193",2017
566,Assembly,"Assembly Standing Committee on Utilities and Energy",Standing,CA,"Utilities and Energy",5132,"(916) 319-2083","(916) 319-3099",2017
567,Assembly,"Assembly Standing Committee on Veterans Affairs",Standing,CA,"Veterans Affairs",389,"(916) 319-3550","(916) 319-3551",2017
568,Assembly,"Assembly Standing Committee on Water, Parks, and Wildlife",Standing,CA,"Water, Parks, and Wildlife",160,"(916) 319-2096","(916) 319-2196",2017
569,Assembly,"Assembly Budget Subcommittee No. 1 on Health and Human Services","Budget Subcommittee",CA,"Budget S/C #1:Health and Human Services",6026,"(916) 319-2099","(916) 319-2199",2017
570,Assembly,"Assembly Budget Subcommittee No. 2 on Education Finance","Budget Subcommittee",CA,"Budget S/C #2:Education Finance",6026,"(916) 319-2099","(916) 319-2199",2017
571,Assembly,"Assembly Budget Subcommittee No. 3 on Resources and Transportation","Budget Subcommittee",CA,"Budget S/C #3:Resources and Transportation",6026,"(916) 319-2099","(916) 319-2199",2017
572,Assembly,"Assembly Budget Subcommittee No. 4 on State Administration","Budget Subcommittee",CA,"Budget S/C #4:State Administration",6026,"(916) 319-2099","(916) 319-2199",2017
573,Assembly,"Assembly Budget Subcommittee No. 5 on Public Safety","Budget Subcommittee",CA,"Budget S/C #5:Public Safety",6026,"(916) 319-2099","(916) 319-2199",2017
574,Assembly,"Assembly Budget Subcommittee No. 6 on Budget Process Oversight and Program Evaluation","Budget Subcommittee",CA,"Budget S/C #6:Budget Process Oversight and Program Evaluation",6026,"(916) 319-2099","(916) 319-2199",2017
575,Assembly,"Assembly Special Committee on Assembly Legislative Ethics",Special,CA,"Assembly Legislative Ethics",300,"(916) 319-3752",,2017
576,Assembly,"Assembly Special Committee on Special Committee on the Office of the Attorney General",Special,CA,Special,126,,,2017
577,Senate,"Senate Floor",Floor,CA,"Senate Floor",,,,2017
578,Senate,"Senate Standing Committee on Agriculture",Standing,CA,Agriculture,583,"(916) 403-7397","(916) 403-7397",2017
579,Senate,"Senate Standing Committee on Appropriations",Standing,CA,Appropriations,2206,"(916) 651-4101",,2017
580,Senate,"Senate Standing Committee on Banking and Financial Institutions",Standing,CA,"Banking and Financial Institutions",405,"(916) 651-4102",,2017
581,Senate,"Senate Standing Committee on Budget and Fiscal Review",Standing,CA,"Budget and Fiscal Review",5019,"(916) 668-7004","(916) 668-7004",2017
582,Senate,"Senate Standing Committee on Business, Professions and Economic Development",Standing,CA,"Business, Professions and Economic Development",2053,"(916) 266-9343","(916) 266-9343",2017
583,Senate,"Senate Standing Committee on Education",Standing,CA,Education,2083,"(916) 445-7799","(916) 445-7799",2017
584,Senate,"Senate Standing Committee on Elections and Constitutional Amendments",Standing,CA,"Elections and Constitutional Amendments",2203,"(916) 266-9289","(916) 266-9289",2017
585,Senate,"Senate Standing Committee on Energy, Utilities and Communications",Standing,CA,"Energy, Utilities and Communications",4035,"(916) 642-8979","(916) 642-8979",2017
586,Senate,"Senate Standing Committee on Environmental Quality",Standing,CA,"Environmental Quality",2205,(916) 322-3519,(916) 322-3519,2017
587,Senate,"Senate Standing Committee on Governance and Finance",Standing,CA,"Governance and Finance",408,"(916) 322-0298","(916) 322-0298",2017
588,Senate,"Senate Standing Committee on Governmental Organization",Standing,CA,"Governmental Organization",584,"(916) 651-1530",,2017
589,Senate,"Senate Standing Committee on Health",Standing,CA,Health,2191,"(916) 266-9438","(916) 266-9438",2017
590,Senate,"Senate Standing Committee on Human Services",Standing,CA,"Human Services",521,"(916) 266-9350","(916) 266-9350",2017
591,Senate,"Senate Standing Committee on Insurance",Standing,CA,Insurance,2195,"(916) 651-4110",,2017
592,Senate,"Senate Standing Committee on Judiciary",Standing,CA,Judiciary,2187,"(916) 403-7394",sen.ca.gov,2017
593,Senate,"Senate Standing Committee on Labor and Industrial Relations",Standing,CA,"Labor and Industrial Relations",545,"(916) 327-5703","(916) 327-5703",2017
594,Senate,"Senate Standing Committee on Natural Resources and Water",Standing,CA,"Natural Resources and Water",5046,"(916) 323-2232","(916) 323-2232",2017
595,Senate,"Senate Standing Committee on Public Employment and Retirement",Standing,CA,"Public Employment and Retirement",568,"(916) 651-1519",,2017
596,Senate,"Senate Standing Committee on Public Safety",Standing,CA,"Public Safety",2031,"(916) 445-4688","(916) 445-4688",2017
597,Senate,"Senate Standing Committee on Rules",Standing,CA,Rules,400,"(916) 651-4120",,2017
598,Senate,"Senate Standing Committee on Transportation and Housing",Standing,CA,"Transportation and Housing",2209,"(916) 445-2209","(916) 445-2209",2017
599,Senate,"Senate Standing Committee on Veterans Affairs",Standing,CA,"Veterans Affairs",251,"(916) 651-1503",,2017
600,Senate,"Senate Budget and Fiscal Review Subcommittee No. 5 on Corrections, Public Safety and the Judiciary","Budget Subcommittee",CA,"Budget S/C #5:Corrections, Public Safety and the Judiciary",5019,"(916) 668-7004","(916) 668-7004",2017
601,Senate,"Senate Budget and Fiscal Review Subcommittee No. 1 on Education","Budget Subcommittee",CA,"Budget S/C #1:Education",5019,"(916) 668-7004","(916) 668-7004",2017
602,Senate,"Senate Budget and Fiscal Review Subcommittee No. 2 on Resources, Environmental Protection, Energy and Transportation","Budget Subcommittee",CA,"Budget S/C #2:Resources, Environmental Protection, Energy an",5019,"(916) 668-7004","(916) 668-7004",2017
603,Senate,"Senate Budget and Fiscal Review Subcommittee No. 3 on Health and Human Services","Budget Subcommittee",CA,"Budget S/C #3:Health and Human Services",5019,"(916) 668-7004","(916) 668-7004",2017
604,Senate,"Senate Budget and Fiscal Review Subcommittee No. 4 on State Administration and General Government","Budget Subcommittee",CA,"Budget S/C #4:State Administration and General Government",5019,"(916) 668-7004","(916) 668-7004",2017
605,Senate,"Senate Select Committee on Aging and Long Term Care",Select,CA,"Aging and Long Term Care",5097,"(916) 651-4025",,2017
606,Senate,"Senate Select Committee on Asian Pacific Islander Affairs",Select,CA,"Asian Pacific Islander Affairs"," 5114","(916) 651-4006",,2017
607,Senate,"Senate Select Committee on Biliteracy and Dual Immersion Programs in California",Select,CA,"Biliteracy and Dual Immersion Programs in California",5061,"(916) 651–4032",,2017
608,Senate,"Senate Select Committee on California's Wine Industry",Select,CA,"California's Wine Industry",5064,"(916) 651-4003",,2017
609,Senate,"Senate Select Committee on California-Mexico Cooperation",Select,CA,"California-Mexico Cooperation",4035,"(916) 651-4040",,2017
610,Senate,"Senate Select Committee on Children with Special Needs",Select,CA,"Children with Special Needs",5114,"(916) 651–4006",,2017
611,Senate,"Senate Select Committee on Climate Change and AB 32 Implementation",Select,CA,"Climate Change and AB 32 Implementation",5108,"(916) 651-4027",,2017
612,Senate,"Senate Select Committee on Defense and Aerospace",Select,CA,"Defense and Aerospace"," 4048","(916) 651-4016",,2017
613,Senate,"Senate Select Committee on Manufactured Home Communities",Select,CA,"Manufactured Home Communities",4061,"(916) 651-4020",,2017
614,Senate,"Senate Select Committee on Mental Health",Select,CA,"Mental Health",2082,"(916) 651- 4015",,2017
615,Senate,"Senate Select Committee on Missing and Unidentified Persons",Select,CA,"Missing and Unidentified Persons",2059,"(916) 651-4005",,2017
616,Senate,"Senate Select Committee on Passenger Rail",Select,CA,"Passenger Rail",2032,"(916) 651-4019",,2017
617,Senate,"Senate Select Committee on Policy Alignment and State Government Efficiency",Select,CA,"Policy Alignment and State Government Efficiency",5097,"(916) 651-4005",,2017
618,Senate,"Senate Select Committee on Ports and Goods Movement",Select,CA,"Ports and Goods Movement",5050,"(916) 651-4033",,2017
619,Senate,"Senate Select Committee on Refugio Oil Spill",Select,CA,"Refugio Oil Spill",2032,"(916) 651- 4919","(916) 651- 4919",2017
620,Senate,"Senate Select Committee on Sacramento–San Joaquin Delta",Select,CA,"Sacramento–San Joaquin Delta",5114,"(916) 651-4003",,2017
621,Senate,"Senate Select Committee on Women and Inequality: Strategies to Promote Opportunity",Select,CA,"Women and Inequality: Strategies to Promote Opportunity",5080,"(916) 651-4030",,2017
622,Joint,"Joint Committee on Arts",Joint,CA,Arts,5072,"(310) 318-6994",,2017
623,Joint,"Joint Committee on Fairs, Allocation and Classification",Joint,CA,"Fairs, Allocation and Classification",541,"(916) 651–1910",,2017
624,Joint,"Joint Committee on Fisheries and Aquaculture",Joint,CA,"Fisheries and Aquaculture","Suite D","(707) 445-6508",,2017
625,Joint,"Joint Committee on Rules",Joint,CA,Rules,3016,"(916) 319-2804",,2017
626,Joint,"Joint Legislative Audit Committee",Joint,CA,"Joint Legislative Audit Committee",107,"(916) 319-3300","(916) 319-2352",2017
627,Joint,"Joint Legislative Budget Committee",Joint,CA,"Joint Legislative Budget Committee",553,"(916) 651-1891",,2017
628,Joint,"Joint Legislative Committee on Emergency Management",Joint,CA,"Emergency Management",2032,"(916) 651-4019",,2017
629,Senate,"Senate Committee on Legislative Ethics",Other,CA,"Legislative Ethics",238,"(916) 651-1507",,2017
630,Assembly,"Assembly Standing Committee on Aging",Standing,NY,Aging,NULL,NULL,NULL,2017
631,Assembly,"Assembly Standing Committee on Agriculture",Standing,NY,Agriculture,NULL,NULL,NULL,2017
632,Assembly,"Assembly Standing Committee on Alcoholism and Drug Abuse",Standing,NY,"Alcoholism and Drug Abuse",NULL,NULL,NULL,2017
633,Assembly,"Assembly Standing Committee on Banks",Standing,NY,Banks,NULL,NULL,NULL,2017
634,Assembly,"Assembly Standing Committee on Children and Families",Standing,NY,"Children and Families",NULL,NULL,NULL,2017
635,Assembly,"Assembly Standing Committee on Cities",Standing,NY,Cities,NULL,NULL,NULL,2017
636,Assembly,"Assembly Standing Committee on Codes",Standing,NY,Codes,NULL,NULL,NULL,2017
637,Assembly,"Assembly Standing Committee on Consumer Affairs and Protection",Standing,NY,"Consumer Affairs and Protection",NULL,NULL,NULL,2017
638,Assembly,"Assembly Standing Committee on Corporations, Authorities and Commissions",Standing,NY,"Corporations, Authorities and Commissions",NULL,NULL,NULL,2017
639,Assembly,"Assembly Standing Committee on Correction",Standing,NY,Correction,NULL,NULL,NULL,2017
640,Assembly,"Assembly Standing Committee on Economic Development, Job Creation, Commerce and Industry",Standing,NY,"Economic Development, Job Creation, Commerce and Industry",NULL,NULL,NULL,2017
641,Assembly,"Assembly Standing Committee on Education",Standing,NY,Education,NULL,NULL,NULL,2017
642,Assembly,"Assembly Standing Committee on Election Law",Standing,NY,"Election Law",NULL,NULL,NULL,2017
643,Assembly,"Assembly Standing Committee on Energy",Standing,NY,Energy,NULL,NULL,NULL,2017
644,Assembly,"Assembly Standing Committee on Environmental Conservation",Standing,NY,"Environmental Conservation",NULL,NULL,NULL,2017
645,Assembly,"Assembly Standing Committee on Ethics and Guidance",Standing,NY,"Ethics and Guidance",NULL,NULL,NULL,2017
646,Assembly,"Assembly Standing Committee on Governmental Employees",Standing,NY,"Governmental Employees",NULL,NULL,NULL,2017
647,Assembly,"Assembly Standing Committee on Governmental Operations",Standing,NY,"Governmental Operations",NULL,NULL,NULL,2017
648,Assembly,"Assembly Standing Committee on Health",Standing,NY,Health,NULL,NULL,NULL,2017
649,Assembly,"Assembly Standing Committee on Higher Education",Standing,NY,"Higher Education",NULL,NULL,NULL,2017
650,Assembly,"Assembly Standing Committee on Housing",Standing,NY,Housing,NULL,NULL,NULL,2017
651,Assembly,"Assembly Standing Committee on Insurance",Standing,NY,Insurance,NULL,NULL,NULL,2017
652,Assembly,"Assembly Standing Committee on Judiciary",Standing,NY,Judiciary,NULL,NULL,NULL,2017
653,Assembly,"Assembly Standing Committee on Labor",Standing,NY,Labor,NULL,NULL,NULL,2017
654,Assembly,"Assembly Standing Committee on Libraries and Education Technology",Standing,NY,"Libraries and Education Technology",NULL,NULL,NULL,2017
655,Assembly,"Assembly Standing Committee on Local Governments",Standing,NY,"Local Governments",NULL,NULL,NULL,2017
656,Assembly,"Assembly Standing Committee on Mental Health",Standing,NY,"Mental Health",NULL,NULL,NULL,2017
657,Assembly,"Assembly Standing Committee on Oversight, Analysis and Investigation",Standing,NY,"Oversight, Analysis and Investigation",NULL,NULL,NULL,2017
658,Assembly,"Assembly Standing Committee on Racing and Wagering",Standing,NY,"Racing and Wagering",NULL,NULL,NULL,2017
659,Assembly,"Assembly Standing Committee on Real Property Taxation",Standing,NY,"Real Property Taxation",NULL,NULL,NULL,2017
660,Assembly,"Assembly Standing Committee on Rules",Standing,NY,Rules,NULL,NULL,NULL,2017
661,Assembly,"Assembly Standing Committee on Small Business",Standing,NY,"Small Business",NULL,NULL,NULL,2017
662,Assembly,"Assembly Standing Committee on Social Services",Standing,NY,"Social Services",NULL,NULL,NULL,2017
663,Assembly,"Assembly Standing Committee on Tourism, Parks, Arts and Sports Development",Standing,NY,"Tourism, Parks, Arts and Sports Development",NULL,NULL,NULL,2017
664,Assembly,"Assembly Standing Committee on Transportation",Standing,NY,Transportation,NULL,NULL,NULL,2017
665,Assembly,"Assembly Standing Committee on Veterans' Affairs",Standing,NY,"Veterans' Affairs",NULL,NULL,NULL,2017
666,Assembly,"Assembly Standing Committee on Ways and Means",Standing,NY,"Ways and Means",NULL,NULL,NULL,2017
667,Assembly,"Assembly Subcommittee on Agricultural Production & Technology ",Subcommittee,NY,"Agricultural Production & Technology ",NULL,NULL,NULL,2017
668,Assembly,"Assembly Subcommittee on Agriculture Economic Development and Farmland Protection",Subcommittee,NY,"Agriculture Economic Development and Farmland Protection",NULL,NULL,NULL,2017
669,Assembly,"Assembly Subcommittee on Autism Retention",Subcommittee,NY,"Autism Retention",NULL,NULL,NULL,2017
670,Assembly,"Assembly Subcommittee on Banking in Underserved Communities",Subcommittee,NY,"Banking in Underserved Communities",NULL,NULL,NULL,2017
671,Assembly,"Assembly Subcommittee on Catastrophic Natural Disasters",Subcommittee,NY,"Catastrophic Natural Disasters",NULL,NULL,NULL,2017
672,Assembly,"Assembly Subcommittee on Child Product Safety",Subcommittee,NY,"Child Product Safety",NULL,NULL,NULL,2017
673,Assembly,"Assembly Subcommittee on Community Integration ",Subcommittee,NY,"Community Integration ",NULL,NULL,NULL,2017
674,Assembly,"Assembly Subcommittee on Consumer Fraud Protection ",Subcommittee,NY,"Consumer Fraud Protection ",NULL,NULL,NULL,2017
675,Assembly,"Assembly Subcommittee on Criminal Procedure",Subcommittee,NY,"Criminal Procedure",NULL,NULL,NULL,2017
676,Assembly,"Assembly Subcommittee on Diversity in Law ",Subcommittee,NY,"Diversity in Law ",NULL,NULL,NULL,2017
677,Assembly,"Assembly Subcommittee on Effective Treatment",Subcommittee,NY,"Effective Treatment",NULL,NULL,NULL,2017
678,Assembly,"Assembly Subcommittee on Election Day Operations and Voter Disenfranchisement",Subcommittee,NY,"Election Day Operations and Voter Disenfranchisement",NULL,NULL,NULL,2017
679,Assembly,"Assembly Subcommittee on Emerging Workforce",Subcommittee,NY,"Emerging Workforce",NULL,NULL,NULL,2017
680,Assembly,"Assembly Subcommittee on Export Trade",Subcommittee,NY,"Export Trade",NULL,NULL,NULL,2017
681,Assembly,"Assembly Subcommittee on Foster Care",Subcommittee,NY,"Foster Care",NULL,NULL,NULL,2017
682,Assembly,"Assembly Subcommittee on Infrastructure",Subcommittee,NY,Infrastructure,NULL,NULL,NULL,2017
683,Assembly,"Assembly Subcommittee on Insurer Investments and Market Practices in Underserved Areas",Subcommittee,NY,"Insurer Investments and Market Practices in Underserved Areas",NULL,NULL,NULL,2017
684,Assembly,"Assembly Subcommittee on Intergenerational Care ",Subcommittee,NY,"Intergenerational Care ",NULL,NULL,NULL,2017
685,Assembly,"Assembly Subcommittee on Intergovernmental Consumer Affairs",Subcommittee,NY,"Intergovernmental Consumer Affairs",NULL,NULL,NULL,2017
686,Assembly,"Assembly Subcommittee on Micro Business ",Subcommittee,NY,"Micro Business ",NULL,NULL,NULL,2017
687,Assembly,"Assembly Subcommittee on Mitchell-Lama",Subcommittee,NY,Mitchell-Lama,NULL,NULL,NULL,2017
688,Assembly,"Assembly Subcommittee on Museums & Cultural Institutions ",Subcommittee,NY,"Museums & Cultural Institutions ",NULL,NULL,NULL,2017
689,Assembly,"Assembly Subcommittee on Outreach and Oversight of Senior Citizen Programs",Subcommittee,NY,"Outreach and Oversight of Senior Citizen Programs",NULL,NULL,NULL,2017
690,Assembly,"Assembly Subcommittee on Oversight of Minority and Women-Owned Business Enterprises (MWBEs)",Subcommittee,NY,"Oversight of Minority and Women-Owned Business Enterprises (MWBEs)",NULL,NULL,NULL,2017
691,Assembly,"Assembly Subcommittee on Oversight of the Department of Environmental Conservation",Subcommittee,NY,"Oversight of the Department of Environmental Conservation",NULL,NULL,NULL,2017
692,Assembly,"Assembly Subcommittee on Regional Tourism Development",Subcommittee,NY,"Regional Tourism Development",NULL,NULL,NULL,2017
693,Assembly,"Assembly Subcommittee on Regulated Mortgage Lenders",Subcommittee,NY,"Regulated Mortgage Lenders",NULL,NULL,NULL,2017
694,Assembly,"Assembly Subcommittee on Renewable Energy",Subcommittee,NY,"Renewable Energy",NULL,NULL,NULL,2017
695,Assembly,"Assembly Subcommittee on Retention of Homeownership and Stabilization of Affordable Housing",Subcommittee,NY,"Retention of Homeownership and Stabilization of Affordable Housing",NULL,NULL,NULL,2017
696,Assembly,"Assembly Subcommittee on Students with Special Needs",Subcommittee,NY,"Students with Special Needs",NULL,NULL,NULL,2017
697,Assembly,"Assembly Subcommittee on Transitional Services",Subcommittee,NY,"Transitional Services",NULL,NULL,NULL,2017
698,Assembly,"Assembly Subcommittee on Trust and Estates",Subcommittee,NY,"Trust and Estates",NULL,NULL,NULL,2017
699,Assembly,"Assembly Subcommittee on Tuition Assistance Program",Subcommittee,NY,"Tuition Assistance Program",NULL,NULL,NULL,2017
700,Assembly,"Assembly Subcommittee on Volunteer Emergency Services",Subcommittee,NY,"Volunteer Emergency Services",NULL,NULL,NULL,2017
701,Assembly,"Assembly Subcommittee on Women Veterans",Subcommittee,NY,"Women Veterans",NULL,NULL,NULL,2017
702,Assembly,"Assembly Subcommittee on Women's Health",Subcommittee,NY,"Women's Health",NULL,NULL,NULL,2017
703,Assembly,"Assembly Subcommittee on Workplace Safety",Subcommittee,NY,"Workplace Safety",NULL,NULL,NULL,2017
704,Assembly,"Assembly Legislative Commission on Administrative Regulations Review","Legislative Commissions",NY,"Administrative Regulations Review",NULL,NULL,NULL,2017
705,Assembly,"Assembly Legislative Commission on Council on Health Care Financing","Legislative Commissions",NY,"Council on Health Care Financing",NULL,NULL,NULL,2017
706,Assembly,"Assembly Legislative Commission on Critical Transportation Choices","Legislative Commissions",NY,"Critical Transportation Choices",NULL,NULL,NULL,2017
707,Assembly,"Assembly Legislative Commission on Government Administration","Legislative Commissions",NY,"Government Administration",NULL,NULL,NULL,2017
708,Assembly,"Assembly Legislative Commission on Legislative Ethics","Legislative Commissions",NY,"Legislative Ethics",NULL,NULL,NULL,2017
709,Assembly,"Assembly Legislative Commission on Rural Resources","Legislative Commissions",NY,"Rural Resources",NULL,NULL,NULL,2017
710,Assembly,"Assembly Legislative Commission on Science and Technology","Legislative Commissions",NY,"Science and Technology",NULL,NULL,NULL,2017
711,Assembly,"Assembly Legislative Commission on Skills Development and Career Education","Legislative Commissions",NY,"Skills Development and Career Education",NULL,NULL,NULL,2017
712,Assembly,"Assembly Legislative Commission on Solid Waste Management","Legislative Commissions",NY,"Solid Waste Management",NULL,NULL,NULL,2017
713,Assembly,"Assembly Legislative Commission on State-Local Relations","Legislative Commissions",NY,"State-Local Relations",NULL,NULL,NULL,2017
714,Assembly,"Assembly Legislative Commission on Tax Study","Legislative Commissions",NY,"Tax Study",NULL,NULL,NULL,2017
715,Assembly,"Assembly Legislative Commission on Toxic Substances and Hazardous Wastes","Legislative Commissions",NY,"Toxic Substances and Hazardous Wastes",NULL,NULL,NULL,2017
716,Assembly,"Assembly Standing Committee on Water Resource Needs of New York State",Standing,NY,"Water Resource Needs of New York State",NULL,NULL,NULL,2017
717,Assembly,"Assembly Task Force on Black, Puerto Rican, Hispanic & Asian Legislative Caucus","Task Forces and Other Entities",NY,"Black, Puerto Rican, Hispanic & Asian Legislative Caucus",NULL,NULL,NULL,2017
718,Assembly,"Assembly Task Force on Child Care Workgroup","Task Forces and Other Entities",NY,"Child Care Workgroup",NULL,NULL,NULL,2017
719,Assembly,"Assembly Task Force on Democratic Study Group","Task Forces and Other Entities",NY,"Democratic Study Group",NULL,NULL,NULL,2017
720,Assembly,"Assembly Task Force on Demographic Research and Reapportionment","Task Forces and Other Entities",NY,"Demographic Research and Reapportionment",NULL,NULL,NULL,2017
721,Assembly,"Assembly Task Force on Food, Farm & Nutrition Policy","Task Forces and Other Entities",NY,"Food, Farm & Nutrition Policy",NULL,NULL,NULL,2017
722,Assembly,"Assembly Task Force on Homeless","Task Forces and Other Entities",NY,Homeless,NULL,NULL,NULL,2017
723,Assembly,"Assembly Task Force on Joint Advisory Board on Broadcast of State Government Proceedings","Task Forces and Other Entities",NY,"Joint Advisory Board on Broadcast of State Government Proceedings",NULL,NULL,NULL,2017
724,Assembly,"Assembly Task Force on Legislative Women's Caucus","Task Forces and Other Entities",NY,"Legislative Women's Caucus",NULL,NULL,NULL,2017
725,Assembly,"Assembly Task Force on Long Island Sound","Task Forces and Other Entities",NY,"Long Island Sound",NULL,NULL,NULL,2017
726,Assembly,"Assembly Task Force on Mohawk Valley","Task Forces and Other Entities",NY,"Mohawk Valley",NULL,NULL,NULL,2017
727,Assembly,"Assembly Task Force on New Americans","Task Forces and Other Entities",NY,"New Americans",NULL,NULL,NULL,2017
728,Assembly,"Assembly Task Force on NYC School Governance","Task Forces and Other Entities",NY,"NYC School Governance",NULL,NULL,NULL,2017
729,Assembly,"Assembly Task Force on People with Disabilities","Task Forces and Other Entities",NY,"People with Disabilities",NULL,NULL,NULL,2017
730,Assembly,"Assembly Task Force on Puerto Rican/Hispanic","Task Forces and Other Entities",NY,"Puerto Rican/Hispanic",NULL,NULL,NULL,2017
731,Assembly,"Assembly Task Force on State-Federal Relations","Task Forces and Other Entities",NY,"State-Federal Relations",NULL,NULL,NULL,2017
732,Assembly,"Assembly Task Force on University-Industry Cooperation","Task Forces and Other Entities",NY,"University-Industry Cooperation",NULL,NULL,NULL,2017
